ano,sigla_uf,id_municipio,ibc,cobertura_pop_4g5g,fibra,densidade_smp,hhi_smp,densidade_scm,hhi_scm,adensamento_estacoes
2023,PI,2210623,18.85,40.0847,0,32.76,16,3.21,42,13.01
2023,CE,2307304,69.43,99.998,100,90.85,84,26.98,63,9.83
2023,CE,2308807,50.52,80.6396,100,43.17,59,5.93,33,15.13
2023,RN,2403301,47.61,94.2234,100,34.51,1,18,3,10.38
2023,RN,2405207,29.33,81.9916,0,49.25,16,7.73,32,13.16
2023,RN,2406700,58.72,80.5307,100,85.44,33,7.94,75,6.33
2023,RN,2409902,55.81,83.3791,100,68.35,29,11.8,67,5.09
2023,RN,2410306,28.62,89.3411,0,31.97,33,1.34,67,8.23
2023,PB,2500403,54.27,98.0256,100,45.2,47,8.92,66,3.96
2023,PB,2501104,57.5,91.7425,100,53.18,87,14.53,56,3.68
2023,PB,2501302,45.89,69.9665,100,41.79,34,5.89,38,4.45
2023,PB,2502102,53.74,97.7817,100,44.34,62,5.51,40,12
2023,PE,2600708,56.91,97.901,100,64.06,46,1.73,71,5.83
2023,PE,2601052,37.14,100,0,74.1,40,0.37,50,4.33
2023,PE,2607505,42.75,56.8378,100,44.3,17,0.78,51,3.19
2023,PE,2610400,48.79,50.4717,100,57.38,57,4.69,68,6.71
2023,PE,2612802,29.71,77.757,0,54.13,24,20.15,2,6.1
2023,AL,2707800,38.71,99.2032,0,67.17,44,0.19,86,9.65
2023,AL,2708907,54.2,100,100,32.74,88,1.28,81,4.29
2023,SE,2801702,56.2,94.5161,100,71.12,22,4.9,57,7.31
2023,SE,2805604,30.74,88.1529,0,63.44,22,1.71,24,4.7
2023,SE,2807501,55.38,91.5112,100,58.67,14,12.91,71,8.67
2023,BA,2905800,53.66,71.5591,100,55.16,86,4.58,64,8.9
2023,BA,2907103,42.73,52.0353,100,46.96,37,4.08,24,4.33
2023,BA,2910107,45.95,44.7944,100,47.71,49,5.18,77,5.26
2023,BA,2911402,25.94,42.3819,0,48.62,65,5.36,62,6.71
2023,MG,3100401,65.68,99.3657,100,77.39,50,25.95,34,31.96
2023,MG,3105004,43.93,90.0779,0,83.25,64,18.03,38,25.02
2023,MG,3107802,51.33,79.0618,100,56.37,30,5.54,51,10.03
2023,MG,3108255,18.72,29.961,0,40.29,6,3.15,70,6.12
2023,MG,3121803,36.75,95.2765,0,59.98,31,4.75,67,18.25
2023,MG,3123700,55.48,99.1054,100,52.74,62,4.1,48,9.17
2023,MG,3124203,60.32,97.1752,100,65.77,72,21.87,31,7.78
2023,MG,3127909,44.19,95.2521,0,79.75,57,8.08,34,44.88
2023,MG,3136603,66.79,93.0185,100,89.29,76,14.37,59,24.67
2023,MG,3140902,55.87,95.4379,100,58.87,60,7.2,36,10.1
2023,MG,3142205,58.12,90.389,100,63.44,83,7.02,59,6.11
2023,MG,3144904,37.73,79.6944,0,62.8,71,11.44,60,17.06
2023,MG,3154804,64.05,96.8967,100,83.93,82,9.68,60,10.15
2023,MG,3157708,69.86,93.0322,100,92.65,90,26.91,59,18.53
2023,MG,3160207,29.88,62.3969,0,53.38,46,5.32,55,15.96
2023,MG,3163706,71.89,99.9986,100,90.53,88,35.68,75,8.83
2023,MG,3165503,58.57,90.2312,100,61.68,44,22.25,51,12.24
2023,ES,3200169,52.49,60.5077,100,60.27,68,8.28,52,15.56
2023,RJ,3304300,67.55,97.8854,100,86.69,61,23.96,67,16.65
2023,SP,3500303,64.7,97.4597,100,87.62,69,14.61,54,10.39
2023,SP,3503109,63.54,96.0779,100,70.25,39,25.89,57,24.2
2023,SP,3503505,61.76,93.0955,100,69.21,34,14.57,70,29.11
2023,SP,3507209,68.91,93.8678,100,89.54,7,24.47,32,68.88
2023,SP,3510302,60.59,99.3793,100,63.44,63,25.9,38,5.46
2023,SP,3517307,65.05,98.4344,100,84.44,53,5.76,76,26.45
2023,SP,3520442,65.03,97.8294,100,90.14,70,16.24,56,4.89
2023,SP,3524808,63.29,99.356,100,90.09,42,8.43,64,10.25
2023,SP,3527405,58.67,97.2683,100,65.55,31,19.11,58,5.19
2023,SP,3530607,69.23,99.873,100,90.05,80,27.88,64,9.3
2023,SP,3531001,65.38,99.5712,100,80.08,51,12.93,35,43
2023,SP,3533304,63.08,98.4659,100,90.41,35,1.11,35,36.7
2023,SP,3533809,65.59,83.9757,100,90.61,13,27.53,63,33.2
2023,SP,3538907,62.61,98.6545,100,71.38,44,27.84,47,12.07
2023,SP,3540853,53.01,99.3087,100,46.6,3,9.93,16,32.31
2023,SP,3542206,60.59,96.0037,100,79.3,22,9.17,72,13.84
2023,SP,3544905,69.87,99.2076,100,90.89,68,25.65,53,27.37
2023,SP,3546009,63.21,99.2362,100,68.04,69,22.7,54,13.41
2023,SP,3547502,69.3,98.2341,100,90.44,80,27.63,46,20.13
2023,PR,4100905,61.55,89.4396,100,76.39,90,1.81,64,17.49
2023,PR,4110904,67.32,89.3475,100,89.91,66,16.75,82,23.24
2023,PR,4117107,62.77,96.2442,100,80.17,61,13.35,62,9.67
2023,PR,4117701,62.51,83.8897,100,75.53,60,18.3,90,11.07
2023,PR,4127965,52.35,65.7208,100,57.88,70,3.97,72,7.32
2023,SC,4204509,62.99,86.8736,100,77.02,71,24.41,64,6.93
2023,SC,4214904,65.71,88.262,100,90.1,74,25.14,26,21.48
2023,SC,4215901,49.6,44.3229,100,55.19,54,15.67,43,21.21
2023,RS,4300570,58.92,93.9616,100,67.34,2,24.1,32,27.12
2023,RS,4304200,57.3,74.3083,100,60.73,56,20.05,84,7.2
2023,RS,4304804,66.73,99.5698,100,66.62,73,33.59,80,12.32
2023,RS,4314159,53.11,93.1866,100,37.73,20,22.21,55,10.44
2023,RS,4320008,68.91,100,100,82.89,82,27.35,85,7.25
2023,RS,4321501,76.93,99.0298,100,90.21,82,62.09,62,19.45
2023,MS,5000807,56.48,52.0106,100,74.51,54,23.89,71,10.88
2023,MT,5106257,56.84,79.5025,100,79.43,66,4.36,47,5.13
2023,GO,5203575,31.13,45.6726,0,76.7,19,7.01,65,18.94
2023,GO,5207501,47.92,95.1105,100,8.29,48,14.8,19,25.99
2023,GO,5208608,65.53,95.9196,100,90.39,78,14.18,61,7.91
2023,GO,5216452,41.9,79.2845,0,90.74,40,2.47,77,28.1
2022,RO,1100304,69.34,95.1366,100,91.22,86,25.77,84,5.56
2022,AM,1301803,17.05,43.0774,0,26.01,40,0.34,34,2.06
2022,PA,1504000,17.03,33.7669,0,36.05,36,0.39,33,1.69
2022,PA,1504976,45.58,61.2058,100,55.93,32,2.83,17,8.36
2022,PA,1507961,55.13,87.8746,100,59.41,51,0.96,80,6.41
2022,TO,1703800,22.49,86.6322,0,5.38,41,0.83,62,3.23
2022,TO,1713205,63.61,87.7872,100,92.14,87,8.92,61,4.49
2022,TO,1717800,48.67,57.1417,100,65.76,2,1.27,84,7.9
2022,MA,2100303,41.92,59.4172,100,21.01,65,4.3,47,2.15
2022,MA,2101939,46.85,66.3111,100,49.1,10,0.1,81,5.71
2022,MA,2103752,53.9,89.7252,100,56.88,48,6.03,56,3.47
2022,MA,2110658,49.68,71.8078,100,61.21,23,2.01,59,4.17
2022,MA,2111029,23.67,64.0777,0,47.29,3,0.57,47,5.44
2022,MA,2111789,18.93,42.5284,0,42.09,1,0.5,52,3.27
2022,MA,2112100,47.23,65.1236,100,42.76,67,4.2,51,1.26
2022,PI,2200459,39.29,37.5372,100,36.04,32,1.67,44,9.39
2022,PI,2206704,49.7,63.9681,100,61.72,6,11.93,53,10
2022,PI,2206720,43.84,50.2116,100,34.53,64,4.5,64,1.62
2022,PI,2209203,34.66,61.9679,0,74.13,59,1.58,73,13.68
2022,CE,2304277,27.59,68.1286,0,32.26,58,12.36,51,7.72
2022,CE,2304350,53.47,95.3037,100,56.68,42,2.13,49,4.82
2022,CE,2306108,53.81,69.8104,100,53.88,85,8.21,70,6.27
2022,CE,2307908,53.72,84.9514,100,56.39,66,1.03,60,6.14
2022,CE,2310258,59.25,93.6144,100,70.15,83,8.22,48,4.65
2022,RN,2404507,61.03,57.22,100,88.17,62,29.94,64,9.8
2022,RN,2405009,34.23,95.8202,0,42.07,68,12.72,49,4.25
2022,RN,2410702,33.62,99.3361,0,57.56,7,11.3,27,12.34
